19960218	Qtest-era polish: gib deaths, damage direction, and a scoreboard still to come
19960219	Underwater bugs, players getting stuck, and a respawn cleanup
19960220	Rewriting sound packet communication and shoring up pak file support
19960221	A frag bar, better prediction bounding, and the first NaN impact-time crashes
19960222	Sound goes back to origin-based, plus alias backpack and armor models
19960223	Trigger waits, crushing fixes, and swimming direction work
19960224	QTest1 ships, the release marked in the middle of an ordinary day's list
19960225	Emitting BSP files, while low-gravity gibs get stuck in walls
19960226	Ogre sounds, and turning 180s left so ogres drag their victims correctly
19960227	Expanding qbsp to 32-bit edges and faces, with an audible sigh
19960228	Air acceleration and freelook, and a question about hostile monsters
19960229	Air acceleration raised, and a strange fall-out-of-level bug
19960301	A ping command, respawning items, and time warp on overloaded servers
19960302	A single line: the SGI test demo is written
19960303	Health capped at 250, and doubts about 256-angle quantization
19960304	The new internet code runs; entity models vanish from underneath
19960305	Zombies and the dog arrive, and health becomes a short to fix negative numbers
19960306	All network play issues fixed, and a long list of monster combat work
19960307	Raising qbsp portal limits and testing GL on NT
19960308	Keys, dropped ammo, and monsters that see farther
19960309	A network dump mode, demon work, and finally giving DEC a quote
19960310	Fixing the static-object update bomb and the crazy speed guys
19960311	Deathmatch backpacks and a monster-sighting PVS problem
19960312	The new alias model code sort of works
19960313	BoxOnPlaneSide optimized and the progs.dat structure crunched down
19960314	New trigger code with delay support
19960315	An execution stack for progs, and a plea to fix the NaNs
19960316	Edge friction, damaging trains, and loading pacifiers
19960317	Triggered trains, and the sound code work begins
19960318	Switchable lights and sounder objects; spiral the view when gibbed
19960319	Switchable lights land, trailed by a long list of monster and water wishes
19960320	Drowning damage, and color comes to QuakeEd's entities
19960321	Two QuakeEd fixes, and a reminder to draw the id trademark graphic
19960322	The "wait" command arrives, making scripted bind chains possible
19960323	Demo code finished, and angles interpolated for low update connections
19960324	Level-to-level transitions, and worries about pathname security in savegames
19960327	Explosions and melee attacks stop passing through walls
19960328	Torch light casting fixed, and stereo still isn't right
19960330	Dynamic lights on the list, and the first sketch of floating Esc menus
19960331	Edicts become pointers, and a byte-order bug in qcc
19960401	Coop play allowed, and $flags added to models for client-side effects
19960402	Leading the target: averaging monster velocity for aiming
19960403	func_wall replaces the deathmatch-only flags, and auto aiming sucks
19960404	A short list, headed by a broken teleport flash
19960405	Sound loop points, and a DOS build that hangs overnight
19960406	Thinking out loud about PVS line-of-sight checks and swooping AI movement
19960407	Two fixes: teleport fog, and entity removal over the net
19960408	The Aim() time sink identified, and the new clipping code running
19960409	A +precache option to speed WAN loading, and loop lengths for sounds
19960410	The second clipping hull is finished
19960411	Damage through walls fixed, and a very long list of everything else
19960412	Away at Raven
19960413	Still at Raven
19960414	Modelgen learns to pack multiple models into one file
19960415	trigger_counter and toggling doors, plus dog frames and assorted gibs
19960416	Demon jumping reworked, zombies stand up properly, and a pause icon appears
19960418	New BSP portalization: 20% faster on a fifth of the memory
